"517310","Will Trump deport less than 250,000?","[""0.048"", ""0.952""]",0.048
"517311","Will Trump deport 250,000-500,000 people?","[""0.908"", ""0.092""]",0.909
"517313","Will Trump deport 500,000-750,000- people?","[""0.0315"", ""0.9685""]",0.029
"517314","Will Trump deport 750,000-1,000,000 people?","[""0.0065"", ""0.9935""]",0.009
"517315","Will Trump deport 1,000,000-1,250,000 people?","[""0.0035"", ""0.9965""]",0.002
"517316","Will Trump deport 1,250,000-1,500,000 people?","[""0.0035"", ""0.9965""]",0.001
"517317","Will Trump deport 1,500,000-1,750,000 people?","[""0.0015"", ""0.9985""]",0.001
"517318","Will Trump deport 1,750,000-2,000,000 people?","[""0.0025"", ""0.9975""]",0.003
"517319","Will Trump deport 2,000,000 or more people?","[""0.0025"", ""0.9975""]",0.001
"517321","Will Trump deport 750,000 or more people in 2025?","[""0.031"", ""0.969""]",0.034
"521944","Will Elon and DOGE cut less than $50b in federal spending in 2025?","[""0.981"", ""0.019""]",0.993
"521945","Will Elon and DOGE cut between $50-100b in federal spending in 2025?","[""0.014"", ""0.986""]",0.03
"521946","Will Elon and DOGE cut between $100-150b in federal spending in 2025?","[""0.0055"", ""0.9945""]",0.017
"521947","Will Elon and DOGE cut between $150-200b in federal spending in 2025?","[""0.006"", ""0.994""]",0.004
"521948","Will Elon and DOGE cut between $200-250b in federal spending in 2025?","[""0.0005"", ""0.9995""]",0.002
"521949","Will Elon and DOGE cut more than $250b in federal spending in 2025?","[""0.004"", ""0.996""]",0.002
"521963","Will Elon cut the budget by at least 10% in 2025?","[""0.0035"", ""0.9965""]",0.004
"521964","Will Elon cut the budget by at least 5% in 2025?","[""0.0135"", ""0.9865""]",0.01
"527079","Will GTA 6 cost $100+?","[""0.0065"", ""0.9935""]",0.006
"528788","Rojas guilty in Texas illegal abortion case?","[""0.013"", ""0.987""]",0.01
